cellDN,controllerName,mcc,mnc,cellId,,,cellLac,cellExpectedCellRadius,cellType,cellDeploymentType,cellSectorIdentifier,cellBtsId,cellTechnology,siteIdentifier,cellid,siteAddress,siteTopologyName,siteT,siteLocationLongitude,siteLocationLatitude,siteLocationGroundHeight,antennaType,antennaAttenuationPattern,antennaGsmPropagationModel,antennaWcdmaPropagationModel,antennaEffectiveHeight,antennaBearing,antennaTilt,antennaLocationLongitude,antennaLocationLatitude,antennaState,cellName,antennaId,antennaHorBeamwidth,antennaTotalTilt,antennaVerBeamwidth,antennaDirectivity,antennaLineLoss
PLMN-PLMN/BSC-900649/BCF-112/BTS-115,KSMBSC2118,639,2,2914,4,,5075,,,,4,115,GSM,14655_WN_WN0291,14655_WN_WN02914,14655_WN_WN0291-Bondo_University_OUTL_MGF,14655_WN_WN0291-Bondo_University_OUTL_MGF,14655,34.25919444,-0.092972222,0,K742215_1800_02V,,,,35,30,1,34.25919444,-0.092972222,1,BONDOUNIVERDCS4,,,,,,
PLMN-PLMN/BSC-900649/BCF-1973/BTS-1977,KSMBSC2118,639,2,7095,5,,5075,,,,5,1977,GSM,18286_WN_WN0709,18286_WN_WN07095,18286_WN_WN0709-Bondo_Center_OUTL_MGF ,18286_WN_WN0709-Bondo_Center_OUTL_MGF ,18286,34.27711111,-0.103527778,,K80010868_1800_03V,,,,25,160,0,34.27711111,-0.103527778, ,BONDOCNTR5,,,,,,
PLMN-PLMN/BSC-900649/BCF-943/BTS-945,KSMBSC2118,639,2,5762,2,,5075,,,,3,945,GSM,15721_WN_WN0576,15721_WN_WN05762,15721_WN_WN0576-EATON_Maranda_MGF,15721_WN_WN0576-EATON_Maranda_MGF,15721,34.22464856,-0.09050663,0,K80010699_900Mhz_03V,,,,32,270,4,34.22464856,-0.09050663,1,ARTLMARANDA2,,,,,,
PLMN-PLMN/BSC-900649/BCF-1662/BTS-1663,KSMBSC2118,639,2,4521,1,,5075,,,,2,1663,GSM,16385_WN_WN0452,16385_WN_WN04521,16385_WN_WN0452-Bondo_Mlimani_OUTL,16385_WN_WN0452-Bondo_Mlimani_OUTL,16385,34.27619444,-0.092138889,0,K80010698_900Mhz_04V,,,,30,125,0,34.27619444,-0.092138889,1,BONDOMLIMANI1,,,,,,
PLMN-PLMN/BSC-900649/BCF-1668/BTS-1671,KSMBSC2118,639,2,5824,4,,5162,,,,4,1671,GSM,16378_WN_WN0582,16378_WN_WN05824,16378_WN_WN0582-Ndigwa_OUTL,16378_WN_WN0582-Ndigwa_OUTL,16378,34.31681944,-0.352994444,0,K80010699_1800Mhz_02V,,,,43,53,1,34.31681944,-0.352994444,1,NDIGWA4,,,,,,
PLMN-PLMN/BSC-900649/BCF-937/BTS-938,KSMBSC2118,639,2,6361,1,,5162,,,,2,938,GSM,13362_WN_WN0636,13362_WN_WN06361,13362_WN_WN0636-EATON_Ragegni_MGF,13362_WN_WN0636-EATON_Ragegni_MGF,13362,34.36367,-0.26861,0,K80010699_900Mhz_04V,,,,47,170,0,34.36367,-0.26861,1,RAGEGNI1,,,,,,
PLMN-PLMN/BSC-900649/BCF-1937/BTS-1938,KSMBSC2118,639,2,7241,1,,5075,,,,2,1938,GSM,16928_WN_WN0724,16928_WN_WN07241,16928_WN_WN0724-Nyanganga_OUTL,16928_WN_WN0724-Nyanganga_OUTL,16928,34.292,0.0131,0,K80010306_900_04V,,,,35,180,0,34.292,0.0131,1,NYANGANGA1,,,,,,
PLMN-PLMN/BSC-900649/BCF-220/BTS-224,KSMBSC2118,639,2,645,5,,5077,,,,5,224,GSM,12937_WN_WN0064,12937_WN_WN00645,12937_WN_WN0064-Usengi_OUTL_MGF,12937_WN_WN0064-Usengi_OUTL_MGF,12937,34.05576022,-0.067724866,0,K742223_1800_00V,,,,44,199,1,34.05576022,-0.067724866,1,USENGIMR5,,,,,,
PLMN-PLMN/BSC-900649/BCF-907/BTS-907,KSMBSC2118,639,2,5320,0,,5077,,,,1,907,GSM,15405_WN_WN0532,15405_WN_WN05320,15405_WN_WN0532-Bondo_Kwach_Teachers_College_OUTL_MGF,15405_WN_WN0532-Bondo_Kwach_Teachers_College_OUTL_MGF,15405,34.10883,-0.00467,0,K742266_900_02V,,,,29,17,2,34.10883,-0.00467,1,BONDOKWACH0,,,,,,
PLMN-PLMN/BSC-900649/BCF-937/BTS-940,KSMBSC2118,639,2,6364,4,,5162,,,,4,940,GSM,13362_WN_WN0636,13362_WN_WN06364,13362_WN_WN0636-EATON_Ragegni_MGF,13362_WN_WN0636-EATON_Ragegni_MGF,13362,34.36367,-0.26861,0,K80010699_1800Mhz_02V,,,,47,60,0,34.36367,-0.26861,1,RAGEGNI4,,,,,,
